category,tool_name,filename,url
Other Calculators,Bandwidth Calculator,bandwidth-calculator.html,https://uti-mate.com/bandwidth-calculator.html
Other Calculators,Base64 Encode / Decode,base64-encode-decode.html,https://uti-mate.com/base64-encode-decode.html
Other Calculators,URL Encode / Decode,url-encode-decode.html,https://uti-mate.com/url-encode-decode.html
Other Calculators,Day Counter,day-counter.html,https://uti-mate.com/day-counter.html
Other Calculators,Day of the Week Calculator,day-of-the-week-calculator.html,https://uti-mate.com/day-of-the-week-calculator.html
PDF Pack,Compress PDF,compress-pdf.html,https://uti-mate.com/compress-pdf.html
PDF Pack,Split PDF,split-pdf.html,https://uti-mate.com/split-pdf.html
PDF Pack,Rotate PDF,rotate-pdf.html,https://uti-mate.com/rotate-pdf.html
PDF Pack,PDF to JPG,pdf-to-jpg.html,https://uti-mate.com/pdf-to-jpg.html
PDF Pack,JPG to PDF,jpg-to-pdf.html,https://uti-mate.com/jpg-to-pdf.html
PDF Pack,Add Watermark to PDF,add-watermark-to-pdf.html,https://uti-mate.com/add-watermark-to-pdf.html
PDF Pack,Add Page Numbers to PDF,add-page-numbers-to-pdf.html,https://uti-mate.com/add-page-numbers-to-pdf.html
PDF Pack,Protect PDF,protect-pdf.html,https://uti-mate.com/protect-pdf.html
PDF Pack,Unlock PDF,unlock-pdf.html,https://uti-mate.com/unlock-pdf.html
PDF Pack,Organize PDF,organize-pdf.html,https://uti-mate.com/organize-pdf.html
Tools Pack,Student Pack,student-pack.html,https://uti-mate.com/student-pack.html
Tools Pack,Creator Pack,creator-pack.html,https://uti-mate.com/creator-pack.html
Tools Pack,Business Pack,business-pack.html,https://uti-mate.com/business-pack.html
Tools Pack,Developer Pack,developer-pack.html,https://uti-mate.com/developer-pack.html
Tools Pack,PDF Pack,pdf-pack.html,https://uti-mate.com/pdf-pack.html
Tools Pack,Image Pack,image-pack.html,https://uti-mate.com/image-pack.html
Tools Pack,Fun Pack,fun-pack.html,https://uti-mate.com/fun-pack.html
PDF Pack,PDF to Excel OCR,pdf-to-excel.html,https://uti-mate.com/pdf-to-excel.html
